 ;Vx;Vy;Vz;ax;ay;az;dt
;-10;5;10;3;-10;7;0.1

 ;x;y;z
Max_height:;  -4,625;1,250; 5,875
Max_height_time:; 0,500
Fly_time:; 1,000
Coord_down:;  -8,500; 0,000; 13,500

time;x;y;z;Vx;Vy;Vz
0,100;-0,984; 0,450; 1,035; -9,699; 4,000; 10,699
0,200; -1,940; 0,800; 2,140; -9,400; 3,000; 11,400
0,300; -2,865; 1,049; 3,315; -9,099; 1,999; 12,100
0,400; -3,759; 1,200; 4,560; -8,800; 1,000; 12,800
0,500; -4,625; 1,250; 5,875; -8,500; 0,000; 13,500
0,600; -5,460; 1,200; 7,259; -8,199; -1,000; 14,199
0,700; -6,265; 1,050; 8,714; -7,900; -2,000; 14,899
0,799; -7,039; 0,800; 10,239; -7,599; -2,999; 15,600
0,900; -7,785; 0,450; 11,834; -7,300; -4,000; 16,299
1,000; -8,499; 0,000; 13,499; -7,000; -4,999; 17,000

0,500; -4,625; 1,250; 5,875; -8,500; 0,000; 13,500
1,000; -8,500; 0,000; 13,500
 -7,000; -5,000; 17,000
