Vx,Vy,Vz,ax,ay,az,MaxHeightX,MaxHeightY,MaxHeightZ,TimeToMaxHeight,TotalFlightTime,LandingX,LandingZ
-10,5,10,3,-10,7,-4.625,1.25,5.875,0.5,1,-8.5,13.5
Time,X,Y,Z,Vx,Vy,Vz
0,0,0,0,-10,5,10
0.1,-0.985,0.45,1.035,-9.7,4,10.7
0.2,-1.94,0.8,2.14,-9.4,3,11.4
0.3,-2.865,1.05,3.315,-9.1,2,12.1
0.4,-3.76,1.2,4.56,-8.8,1,12.8
0.5,-4.625,1.25,5.875,-8.5,0,13.5
0.6,-5.46,1.2,7.26,-8.2,-1,14.2
0.7,-6.265,1.05,8.715,-7.9,-2,14.9
0.8,-7.04,0.8,10.24,-7.6,-3,15.6
0.9,-7.785,0.45,11.835,-7.3,-4,16.3
0.5,-4.625,1.25,5.875,-8.5,0,13.5
1,-8.5,0,13.5,-7,0,17
