10;Sravnen;Perenos
0:;45;14
1:;45;18
2:;45;25
3:;45;29
4:;45;19
5:;45;31
6:;45;19
7:;45;32
8:;45;26
9:;45;17
100;Sravnen;Perenos
0:;4950;2853
1:;4950;2432
2:;4950;2386
3:;4950;2439
4:;4950;2424
5:;4950;2119
6:;4950;2435
7:;4950;2451
8:;4950;2216
9:;4950;2672
1000;Sravnen;Perenos
0:;499500;237539
1:;499500;255094
2:;499500;256541
3:;499500;245531
4:;499500;253458
5:;499500;255785
6:;499500;258314
7:;499500;247905
8:;499500;252321
9:;499500;242887
2000;Sravnen;Perenos
0:;1999000;1011668
1:;1999000;1016653
2:;1999000;993196
3:;1999000;1026875
4:;1999000;1035583
5:;1999000;992757
6:;1999000;994380
7:;1999000;1016283
8:;1999000;1030808
9:;1999000;971916
5000;Sravnen;Perenos
0:;12497500;6200182
1:;12497500;6229698
2:;12497500;6242124
3:;12497500;6251228
4:;12497500;6245705
5:;12497500;6315101
6:;12497500;6164137
7:;12497500;6137181
8:;12497500;6288116
9:;12497500;6296595
10000;Sravnen;Perenos
0:;49995000;24959064
1:;49995000;24799216
2:;49995000;25047964
3:;49995000;25118437
4:;49995000;24713390
5:;49995000;25224024
6:;49995000;25045620
7:;49995000;25070833
8:;49995000;25106494
9:;49995000;25241437
50000;Sravnen;Perenos
0:;1249975000;624029193
1:;1249975000;624933428
2:;1249975000;626929775
3:;1249975000;623659575
4:;1249975000;625499989
5:;1249975000;625878643
6:;1249975000;624334489
7:;1249975000;625273863
8:;1249975000;626779121
9:;1249975000;625440727
100000;Sravnen;Perenos
0:;4999950000;2504105159
1:;4999950000;2502616136
2:;4999950000;2499396220
3:;4999950000;2497352458
4:;4999950000;2501562903
5:;4999950000;2498868298
6:;4999950000;2495480839
7:;4999950000;2496804230
8:;4999950000;2507027042
9:;4999950000;2501533063
